PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,TotalGenFixedCosts,1550612929.25,359431448.383,annual
2020,FuelCostsPerPeriod,570071778.712,132142407.199,annual
2020,StorageEnergyInstallCosts,21239577.3408,4923325.41708,annual
2020,ev_extra_annual_cost,120525432.221,27937746.3279,annual
2020,ice_annual_fuel_cost,4477431315.45,1037866763.77,annual
2020,HydrogenFixedCostAnnual,0.0,0.0,annual
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,Federal_Investment_Tax_Credit_Annual,-39768160.1936,-9218243.41088,annual
2025,TotalGenFixedCosts,1377576203.39,370181258.595,annual
2025,FuelCostsPerPeriod,526552482.797,141494793.767,annual
2025,StorageEnergyInstallCosts,18321445.9908,4923325.41708,annual
2025,ev_extra_annual_cost,540624742.191,145276280.905,annual
2025,ice_annual_fuel_cost,3131763823.43,841565258.548,annual
2025,HydrogenFixedCostAnnual,0.0,0.0,annual
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,Federal_Investment_Tax_Credit_Annual,-35677860.3805,-9587328.25601,annual
2030,TotalGenFixedCosts,1309184261.91,407836128.066,annual
2030,FuelCostsPerPeriod,441911072.542,137663815.567,annual
2030,StorageEnergyInstallCosts,15804240.2543,4923325.41708,annual
2030,ev_extra_annual_cost,723436741.694,225364487.045,annual
2030,ice_annual_fuel_cost,2011082361.09,626490912.875,annual
2030,HydrogenFixedCostAnnual,0.0,0.0,annual
2030,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2030,Federal_Investment_Tax_Credit_Annual,-41949939.8552,-13068214.7203,annual
2035,TotalGenFixedCosts,1192945001.22,430815643.123,annual
2035,FuelCostsPerPeriod,411022894.767,148435252.729,annual
2035,StorageEnergyInstallCosts,13632876.4738,4923325.41708,annual
2035,ev_extra_annual_cost,742662610.907,268202364.748,annual
2035,ice_annual_fuel_cost,1138941587.28,411313054.586,annual
2035,HydrogenFixedCostAnnual,0.0,0.0,annual
2035,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2035,Federal_Investment_Tax_Credit_Annual,-39268413.2421,-14181246.1497,annual
2040,TotalGenFixedCosts,1474626473.96,617361002.835,annual
2040,FuelCostsPerPeriod,209940545.692,87892838.0262,annual
2040,StorageEnergyInstallCosts,11759839.0028,4923325.41708,annual
2040,ev_extra_annual_cost,653973693.918,273789914.013,annual
2040,ice_annual_fuel_cost,479072512.908,200566511.061,annual
2040,HydrogenFixedCostAnnual,0.0,0.0,annual
2040,Pumped_Hydro_Fixed_Cost_Annual,85254153.5716,35692150.3001,annual
2040,Federal_Investment_Tax_Credit_Annual,-53648962.7202,-22460452.1965,annual
2045,TotalGenFixedCosts,2159611743.98,1048139215.64,annual
2045,FuelCostsPerPeriod,88374154.0562,42891235.7849,annual
2045,StorageEnergyInstallCosts,10144140.4267,4923325.41708,annual
2045,ev_extra_annual_cost,498884686.441,242127134.841,annual
2045,ice_annual_fuel_cost,0.0,0.0,annual
2045,HydrogenFixedCostAnnual,104400421.348,50669374.2749,annual
2045,Pumped_Hydro_Fixed_Cost_Annual,73540981.7761,35692150.3001,annual
2045,Federal_Investment_Tax_Credit_Annual,-46278066.5155,-22460452.1965,annual
2020,GenVariableOMCostsInTP,61859265.7716,14338952.7282,timepoint
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2020,HydrogenVariableCost,0.0,0.0,timepoint
2025,GenVariableOMCostsInTP,103503170.497,27813295.4306,timepoint
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,HydrogenVariableCost,0.0,0.0,timepoint
2030,GenVariableOMCostsInTP,85450734.5078,26619550.598,timepoint
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,HydrogenVariableCost,0.0,0.0,timepoint
2035,GenVariableOMCostsInTP,85305298.8006,30806832.7768,timepoint
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,HydrogenVariableCost,0.0,0.0,timepoint
2040,GenVariableOMCostsInTP,45850065.8644,19195398.3887,timepoint
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,HydrogenVariableCost,0.0,0.0,timepoint
2045,GenVariableOMCostsInTP,49246830.1817,23901302.6777,timepoint
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,HydrogenVariableCost,0.0,0.0,timepoint
